index,importance
0_Spectral kurtosis,0.00016604829770721808
0_Spectral decrease,0.00013916594611468853
0_Absolute energy,3.169091818955887e-05
time_diffmax,1.259879106447794e-05
time_diffmedian,8.981642089203285e-06
time_diffqmean,8.960379442280883e-06
time_slope,8.9335544226755e-06
time_diffmean,8.927439165235556e-06
time_diffvar,4.762192271717599e-06
time_diffmin,4.549665949271392e-06
0_Signal distance,4.527406965122727e-06
value_count,4.5013128453776135e-06
0_Spectral distance,3.8141957934854716e-06
time_diffstd,6.134947431673406e-07
0_Kurtosis,2.017786890350098e-07
time_entropy,1.5502716768740832e-07
0_Average power,1.1849612576986821e-07
0_Spectral positive turning points,9.96434548994499e-08
time_total,6.845574060023981e-08
0_Area under the curve,5.5294118279941216e-08
0_Autocorrelation,1.5803407973264477e-08
0_ECDF Percentile Count_1,1.5396326398647764e-08
0_Spectral variation,1.5363402122440848e-08
0_Sum absolute diff,1.4179327889755204e-08
time_burstiness,1.349276189419606e-08
0_Centroid,7.117887159316602e-09
0_ECDF Percentile Count_0,3.844779584835497e-09
0_Negative turning points,3.4060541444074264e-09
0_Positive turning points,3.38975159353326e-09
0_Wavelet variance_1.78Hz,2.217934905368571e-09
0_Wavelet variance_2.0Hz,1.841553603012752e-09
0_Wavelet variance_2.28Hz,1.483302435798197e-09
0_Wavelet variance_2.66Hz,1.1360609629735801e-09
0_Skewness,1.0972479325064348e-09
0_Histogram mode,8.840528445717725e-10
0_Variance,8.358792909525206e-10
value_var,8.336412426595596e-10
0_Wavelet variance_3.2Hz,8.148837922549548e-10
0_Zero crossing rate,7.741590545152803e-10
0_Wavelet variance_4.0Hz,5.208901870025663e-10
value_diffvar,4.3744122458916733e-10
0_Neighbourhood peaks,4.239151607781614e-10
0_Max power spectrum,4.1944162089258096e-10
0_Spectral roll-off,4.149490667938905e-10
0_Maximum frequency,4.149490667938905e-10
0_Wavelet variance_5.33Hz,2.7201001600617685e-10
value_diffmaxmin,1.9101270589899943e-10
0_Power bandwidth,1.8840383920155237e-10
value_max,1.4746566128555472e-10
0_Max,1.4725685209170174e-10
0_ECDF Percentile_1,1.4586794471406515e-10
0_Spectrogram mean coefficient_1.03Hz,1.4437054761233663e-10
0_Spectral centroid,1.4339049333714776e-10
value_maxmin,1.2946031439874171e-10
0_Spectral spread,1.2939679286651318e-10
0_Peak to peak distance,1.29250685488533e-10
value_qmean,1.1247680750586786e-10
0_Wavelet variance_7.99Hz,1.1224202325263254e-10
0_Root mean square,1.0943814675822389e-10
value_mean,1.0894799716946561e-10
0_Mean,1.0887496024415216e-10
0_ECDF_9,1.0610002386749284e-10
0_Median frequency,1.0556581942865148e-10
value_median,1.0384683095429399e-10
0_Median,1.0371563333643966e-10
value_diffmax,9.937489105267358e-11
0_ECDF_8,9.549002147914193e-11
value_diffmin,9.163804208304406e-11
0_ECDF_7,8.488001909065747e-11
